Aadhar No,Full Name,Date Of Birth,Gender,Address,Fathers Name
9999992367,Erin Smith,19-Dec-05,M,4TH ST / W ST,
9999992368,Ted Trevino,25-Oct-06,M,13TH ST / Q ST,
9999992369,Ted Trevino,29-Jun-07,M,FLORIN RD / PARKHAVEN WAY,
9999992370,Tamara Dahlen,01-Feb-07,M,2516 WAH AVE,
9999992371,Eileen Kiefer,11-Jun-08,F,8614 EVERGLADE DR,
9999992372,Ted Trevino,01-Mar-08,M,1021 CONGRESS AVE,
9999992373,David Philippe,24-Apr-08,M,3829 ELM ST,
9999992374,James Lanier,22-Apr-08,M,DUCKHORN DR / SAN JUAN RD,
9999992375,James Lanier,01-Jun-07,M,1 SUNBORG CT,
9999992376,Anemone Ratner,16-Oct-05,F,8615 LA RIVIERA DR,
9999992377,Anemone Ratner,11-Jul-07,M,15 RANCHO TORRE CT,
9999992378,Anemone Ratner,01-Jun-08,M,1214 SONOMA AVE,
9999992379,Cari MacIntyre,01-Jun-07,M,100 BICENTENNIAL CIR,
9999992380,Cari MacIntyre,08-Jul-08,M,VAN BUREN WAY / N BEND DR,
9999992381,Cari MacIntyre,01-Jan-01,F,DRY CREEK RD / SANTA ANA AVE,
9999992382,Melanie Page,30-Oct-07,M,7440 GREENHAVEN DR,
9999992383,Melanie Page,20-May-08,M,1600 ARDEN WAY,
9999992384,Melanie Page,01-Jan-08,M,ARENA BLVD / EL CENTRO RD,
9999992385,Melanie Page,01-Jan-07,M,1620 W EL CAMINO AVE,
9999992386,Melanie Page,01-Feb-08,F,2611 ERIN DR,
9999992387,Cynthia Arntzen,01-Feb-07,M,1850 FRIENZA AVE,
9999992388,Erin Smith,01-Aug-05,M,1400 P ST,
9999992389,Chris Selesnick,19-Dec-05,M,617 SANTA ANA AVE,
9999992390,Chris Selesnick,25-Oct-06,M,2250 68TH AVE,
9999992391,Noel Staavos,29-Jun-07,F,ROANOKE AVE / BRANCH ST,
9999992392,Dean Braden,01-Feb-07,M,3501 MEADOWVIEW RD,
9999992393,George Bell,11-Jun-08,M,4918 DRY CREEK RD,
9999992394,George Bell,01-Mar-08,M,7TH ST / L ST,
9999992395,Edward Becker,24-Apr-08,M,6660 SPOERRIWOOD CT,
9999992396,Lena Creighton,22-Apr-08,F,3016 J ST,
9999992397,Joni Sundaresam,01-Jun-07,M,9TH ST / H ST,
9999992398,Tamara Chand,16-Oct-05,M,1861 NIANTIC WAY,
9999992399,Tamara Chand,11-Jul-07,M,7821 SHRADER CIR,
9999992400,Tamara Chand,01-Jun-08,M,3222 19TH AVE,
9999992401,Anthony Witt,01-Jun-07,F,7564 RED WILLOW ST,
9999992402,Anthony Witt,08-Jul-08,M,6260 FOLSOM BLVD,
9999992403,Erin Smith,01-Jan-01,M,2600 RIO LINDA BLVD,
9999992404,Erin Smith,30-Oct-07,M,1321 N C ST,
9999992405,George Ashbrook,20-May-08,M,EL CAMINO AVE / BUS 80 WB,
9999992406,George Ashbrook,01-Jan-08,F,I ST / 11TH ST,
9999992407,Nat Carroll,01-Jan-07,M,AHERN ST / N C ST,
9999992408,Duane Huffman,01-Feb-08,M,1112 C ST,
9999992409,George Ashbrook,01-Feb-07,M,1400 GRAND AVE,
9999992410,George Ashbrook,01-Aug-05,M,FLORIN RD / 29TH ST,
9999992411,Jonathan Howell,19-Dec-05,F,AHERN ST / N C ST,
9999992412,Jonathan Howell,25-Oct-06,M,4TH ST / J ST,
9999992413,David Philippe,29-Jun-07,M,3291 TRUXEL RD,
9999992414,Matt Hagelstein,01-Feb-07,M,6630 4TH AVE,
9999992415,Edward Nazzal,11-Jun-08,M,5701 FREEPORT BLVD,
9999992416,Edward Nazzal,01-Mar-08,F,19 BETHANY CT,
9999992417,Magdelene Morse,24-Apr-08,M,2001 BROADWAY,
9999992418,Eudokia Martin,22-Apr-08,M,NORTHFIELD DR / NORTHVIEW DR,
9999992419,Darren Budd,01-Jun-07,M,651 I ST,
9999992420,Jesus Ocampo,16-Oct-05,M,24TH ST / 50TH AVE,
9999992421,Allen Golden,11-Jul-07,F,87 SCRIPPS DR,
9999992422,Allen Golden,01-Jun-08,M,602 MOREY AVE,
9999992423,Cynthia Arntzen,01-Jun-07,M,6420 MACK RD,
9999992424,Eileen Kiefer,08-Jul-08,M,8000 FOLSOM BLVD,
9999992425,Philip Brown,01-Jan-01,M,BROADWAY / 50TH ST,
9999992426,Darren Budd,30-Oct-07,F,5284 FRUITRIDGE RD,
9999992427,Darren Budd,20-May-08,M,1321 N C ST,
9999992428,Ruben Ausman,01-Jan-08,M,3066 FREEPORT BLVD,
9999992429,Ruben Ausman,01-Jan-07,M,15TH ST / S ST,
9999992430,Ruben Ausman,01-Feb-08,M,630 J ST,
9999992431,Eileen Kiefer,01-Feb-07,F,3550 5TH AVE,
9999992432,George Bell,01-Aug-05,M,1706 P ST,
9999992433,George Bell,19-Dec-05,M,3950 RESEARCH DR,
9999992434,Matt Collister,25-Oct-06,M,15TH ST / C ST,
9999992435,Matt Collister,29-Jun-07,M,5710 BROADWAY,
9999992436,Cynthia Arntzen,01-Feb-07,F,7998 VALLEY GREEN DR,
9999992437,Brian Stugart,11-Jun-08,M,28TH ST / L ST,
9999992438,Edward Becker,01-Mar-08,M,2717 SAN JUAN RD,
9999992439,Noah Childs,24-Apr-08,M,1 SHOAL CT,
9999992440,Darren Budd,22-Apr-08,M,1600 VALLEJO WAY,
9999992441,Dave Hallsten,01-Jun-07,F,6000 FREEPORT BLVD,
9999992442,Edward Nazzal,16-Oct-05,M,3930 38TH ST,
9999992443,Edward Nazzal,11-Jul-07,M,2500 35TH ST,
9999992444,Anemone Ratner,01-Jun-08,M,1120 SILVER LAKE DR,
9999992445,Dan Lawera,01-Jun-07,M,914 CAPITOL MALL,
9999992446,Nancy Lomonaco,08-Jul-08,F,2595 BEAUMONT ST,
9999992447,Dan Lawera,01-Jan-01,M,SUTTERVILLE RD / FREEPORT BLVD,
9999992448,Dan Lawera,30-Oct-07,M,16TH ST / G ST,
9999992449,Dan Lawera,20-May-08,M,FRONT ST / O ST,
9999992450,Theresa Coyne,01-Jan-08,M,6201 LEMON HILL AVE,
9999992451,Lena Creighton,01-Jan-07,F,1650 RESPONSE RD,
9999992452,Lena Creighton,01-Feb-08,M,774 BOWLES ST,
9999992453,David Philippe,01-Feb-07,M,20TH AVE / 36TH ST,
9999992454,Lena Creighton,01-Aug-05,M,7748 REENEL WAY,
9999992455,James Lanier,19-Dec-05,M,4532 FREEPORT BLVD,
9999992456,Darren Budd,25-Oct-06,F,2350 FLORIN RD,
9999992457,Philip Brown,29-Jun-07,M,13TH ST / J ST,
9999992458,Jeremy Ellison,01-Feb-07,M,7810 LA RIVIERA DR,
9999992459,Darren Budd,11-Jun-08,M,1001 I ST,
9999992460,Darren Budd,01-Mar-08,M,8100 BRUCEVILLE RD,
9999992461,Cari MacIntyre,24-Apr-08,F,5441 70TH ST,
9999992462,Alan Hwang,22-Apr-08,M,600 K ST,
9999992463,Alan Hwang,01-Jun-07,M,14TH AVE / 63RD ST,
9999992464,Magdelene Morse,16-Oct-05,M,3600 RIVERSIDE BLVD,
9999992465,Magdelene Morse,11-Jul-07,M,CAPITOL AVE / 19TH ST,
9999992466,Magdelene Morse,01-Jun-08,F,LEMON HILL AVE / 40TH AVE,
9999992467,Alan Hwang,01-Jun-07,M,4980 76TH ST,
9999992468,Alan Hwang,08-Jul-08,M,12TH ST / D ST,
9999992469,Aimee Bixby,01-Jan-01,M,5415 LOWELL ST,
9999992470,Lena Creighton,30-Oct-07,M,3500 16TH AVE,
9999992471,Lena Creighton,20-May-08,F,13TH ST / S LAND PARK DR,
9999992472,Eugene Hildebrand,01-Jan-08,M,3461 MABEL ST,
9999992473,Eugene Hildebrand,01-Jan-07,M,3946 MARTIN LUTHER KING JR BLVD,
9999992474,Eugene Hildebrand,01-Feb-08,M,53RD ST / FRUITRIDGE RD,
9999992475,Noel Staavos,01-Feb-07,M,ALCOTT DR / 25TH AVE,
9999992476,Philip Brown,01-Aug-05,F,2645 CONNIE DR,
9999992477,Eudokia Martin,19-Dec-05,M,6715 GLORIA DR,
9999992478,Edward Nazzal,25-Oct-06,M,5212 CABOT CIR,
9999992479,Edward Nazzal,29-Jun-07,M,ALCOTT DR / 25TH AVE,
9999992480,Erin Ashbrook,01-Feb-07,M,ALCOTT DR / 25TH AVE,
9999992481,Tamara Chand,11-Jun-08,F,107 HERMES CIR,
9999992482,Mike Caudle,01-Mar-08,M,21ST AVE / BRADFORD DR,
9999992483,Mike Caudle,24-Apr-08,M,6715 GLORIA DR,
9999992484,Cari MacIntyre,22-Apr-08,M,CARMEL ST / RIO LINDA BLVD,
9999992485,Alan Hwang,01-Jun-07,M,2129 SOUTH AVE,
9999992486,Alan Hwang,16-Oct-05,F,2902 S MEADOWS PL,
9999992487,Dave Hallsten,11-Jul-07,M,1461 MEADOWVIEW RD,
9999992488,Fred Hopkins,01-Jun-08,M,547 L ST,
9999992489,Jonathan Howell,01-Jun-07,M,LEMON HILL AVE / 40TH AVE,
9999992490,Matt Collister,08-Jul-08,M,20TH AVE / 73RD ST,
9999992491,Duane Huffman,01-Jan-01,F,5310 79TH ST,
9999992492,Duane Huffman,30-Oct-07,M,5201 ALCOTT DR,
9999992493,Kelly Lampkin,20-May-08,M,5110 71ST ST,
9999992494,Edward Nazzal,01-Jan-08,M,5020 LIPPITT LN,
9999992495,Philip Brown,01-Jan-07,M,451 MCCLATCHY WAY,
9999992496,Dean Braden,01-Feb-08,F,7107 S LAND PARK DR,
9999992497,Erica Smith,01-Feb-07,M,5401 EMERSON RD,
9999992498,Erica Smith,01-Aug-05,M,6879 14TH AVE,
9999992499,Dave Hallsten,19-Dec-05,M,4981 CONCORD RD,
9999992500,Dave Hallsten,25-Oct-06,M,1896 ARDEN WAY,
9999992501,Dave Hallsten,29-Jun-07,F,2500 NEW MARKET DR,
9999992502,Dave Hallsten,01-Feb-07,M,2401 2ND AVE,
9999992503,Erica Smith,11-Jun-08,M,7034 WOODBINE AVE,
9999992504,Jim Mitchum,01-Mar-08,M,5251 79TH ST,
9999992505,Jim Mitchum,24-Apr-08,M,STOCKTON BLVD / MASSIE CT,
9999992506,Jim Mitchum,22-Apr-08,F,4950 CONCORD RD,
9999992507,Jim Mitchum,01-Jun-07,M,5303 FRANKLIN BLVD,
9999992508,David Philippe,16-Oct-05,M,FRANKLIN BLVD / FLORIN RD,
9999992509,Darren Budd,11-Jul-07,M,5251 ALCOTT DR,
9999992510,Darren Budd,01-Jun-08,M,7236 GREENHAVEN DR,
9999992511,Darren Budd,01-Jun-07,F,2825 42ND ST,
9999992512,Darren Budd,08-Jul-08,M,129 FOUNTAIN OAKS CIR,
9999992513,Darren Budd,01-Jan-01,M,4961 CONCORD RD,
9999992514,George Ashbrook,30-Oct-07,M,25TH AVE / 36TH ST,
9999992515,George Ashbrook,20-May-08,M,4910 71ST ST,
9999992516,Tamara Chand,01-Jan-08,F,3001 FLORIN RD,
9999992517,Darren Budd,01-Jan-07,M,6097 VENTURA ST,
9999992518,Edward Becker,01-Feb-08,M,4820 QUONSET DR,
9999992519,David Philippe,01-Feb-07,M,7326 GREENHAVEN DR,
9999992520,Anemone Ratner,01-Aug-05,M,3130 EL REY WAY,
9999992521,Anemone Ratner,19-Dec-05,F,JACKSON RD / FLORIN PERKINS RD,
9999992522,Janet Martin,25-Oct-06,M,4939 TORONTO WAY,
9999992523,Janet Martin,29-Jun-07,M,2444 EMPRESS ST,
9999992524,Edward Nazzal,01-Feb-07,M,4939 TORONTO WAY,
9999992525,Edward Nazzal,11-Jun-08,M,4951 TORONTO WAY,
9999992526,Alan Hwang,01-Mar-08,F,5400 79TH ST,
9999992527,Alan Hwang,24-Apr-08,M,2400 CORMORANT WAY,
9999992528,Eugene Hildebrand,22-Apr-08,M,STOCKTON BLVD / FLORIN RD,
9999992529,Andrew Roberts,01-Jun-07,M,1006 FLORIN RD,
9999992530,Andrew Roberts,16-Oct-05,M,5400 79TH ST,
9999992531,Andrew Roberts,11-Jul-07,F,4961 71ST ST,
9999992532,David Smith,01-Jun-08,M,5441 70TH ST,
9999992533,Edward Becker,01-Jun-07,M,K ST / 10TH ST,
9999992534,Edward Becker,08-Jul-08,M,13TH ST / E ST,
9999992535,Magdelene Morse,01-Jan-01,M,70 RAMBLEOAK CIR,
9999992536,Jim Mitchum,30-Oct-07,F,62 VALINE CT,
9999992537,Jim Mitchum,20-May-08,M,2901 CONNIE DR,
9999992538,Ed Ludwig,01-Jan-08,M,21ST AVE / QUONSET DR,
9999992539,Ed Ludwig,01-Jan-07,M,4939 TORONTO WAY,
9999992540,Michael Dominguez,01-Feb-08,M,2898 BENDMILL WAY,
9999992541,Thomas Boland,01-Feb-07,F,6230 GREENHAVEN DR,
9999992542,Olvera Toch,01-Aug-05,M,7141 HAVENSIDE DR,
9999992543,Lena Radford,19-Dec-05,M,7952 POCKET RD,
9999992544,Sean Christensen,25-Oct-06,M,5470 80TH ST,
9999992545,Todd Boyes,29-Jun-07,M,3671 FRANKLIN BLVD,
9999992546,Todd Boyes,01-Feb-07,F,5060 80TH ST,
9999992547,Todd Boyes,11-Jun-08,M,LOMBARD CT / MACARTHUR ST,
9999992548,Todd Boyes,01-Mar-08,M,CLINGER CT / MACARTHUR ST,
9999992549,Todd Boyes,24-Apr-08,M,6000 S LAND PARK DR,
9999992550,Todd Boyes,22-Apr-08,M,2447 BOXWOOD ST,
9999992551,Todd Boyes,01-Jun-07,F,5351 47TH AVE,
9999992552,Todd Boyes,16-Oct-05,M,NORWOOD AVE / BELL AVE,
9999992553,Michael Dominguez,11-Jul-07,M,3555 AUBURN BLVD,
9999992554,Michael Dominguez,01-Jun-08,M,CREEKS EDGE WAY / FRANKLIN BLVD,
9999992555,Sean Miller,01-Jun-07,M,7056 S LAND PARK DR,
9999992556,Sean Miller,08-Jul-08,F,2750 SUTTERVILLE RD,
9999992557,Todd Boyes,01-Jan-01,M,6090 S LAND PARK DR,
9999992558,Todd Boyes,30-Oct-07,M,5901 LEMON HILL AVE,
9999992559,Phillip Breyer,20-May-08,M,8375 DARTFORD DR,
9999992560,Lena Radford,01-Jan-08,M,7421 S LAND PARK DR,
9999992561,Todd Boyes,01-Jan-07,F,34TH ST / 5TH AVE,
9999992562,Todd Boyes,01-Feb-08,M,7511 EDDYLEE WAY,
9999992563,Michelle Ellison,01-Feb-07,M,POTOMAC AVE / NORTHGATE BLVD,
9999992564,Olvera Toch,01-Aug-05,M,3008 O ST,
9999992565,Olvera Toch,19-Dec-05,M,1850 CLUB CENTER DR,
9999992566,Olvera Toch,25-Oct-06,F,7360 TAMOSHANTER WAY,
9999992567,Todd Boyes,29-Jun-07,M,2671 RIO LINDA BLVD,
9999992568,Todd Boyes,01-Feb-07,M,600 K ST,
9999992569,Sean Christensen,11-Jun-08,M,PINELL ST / RENE AVE,
9999992570,Michelle Ellison,01-Mar-08,M,STOCKTON BLVD / MASSIE CT,
9999992571,Michelle Ellison,24-Apr-08,F,1330 LONGSHORE CT,
9999992572,Michelle Ellison,22-Apr-08,M,STOCKTON BLVD / ELSIE AVE,
9999992573,Michelle Ellison,01-Jun-07,M,1 SHOAL CT,
9999992574,Michelle Ellison,16-Oct-05,M,STOCKTON BLVD / MASSIE CT,
9999992575,Scot Coram,11-Jul-07,M,16TH ST / S ST,
9999992576,Natalie Fritzler,01-Jun-08,F,DEL PASO BLVD / PALO VERDE AVE,
9999992577,Nathan Gelder,01-Jun-07,M,1808 SOUTH AVE,
9999992578,Nathan Gelder,08-Jul-08,M,8TH ST / K ST,
9999992579,Sean Miller,01-Jan-01,M,371 GROTH CIR,
9999992580,Olvera Toch,30-Oct-07,M,6200 GLORIA DR,
9999992581,Olvera Toch,20-May-08,F,1230 J ST,
9999992582,Olvera Toch,01-Jan-08,M,2515 48TH AVE,
9999992583,Olvera Toch,01-Jan-07,M,2800 J ST,
9999992584,Michael Dominguez,01-Feb-08,M,1500 W EL CAMINO AVE,
9999992585,Michelle Ellison,01-Feb-07,M,5399 47TH AVE,
9999992586,Michael Dominguez,01-Aug-05,F,261 HEMFORD CIR,
9999992587,Thomas Boland,19-Dec-05,M,2908 QUINTER WAY,
9999992588,Thomas Boland,25-Oct-06,M,8105 PORT ROYALE WAY,
9999992589,Patricia Hirasaki,29-Jun-07,M,4064 TAYLOR ST,
9999992590,Maria Zettner,01-Feb-07,M,2810 35TH ST,
9999992591,Thomas Boland,11-Jun-08,F,5TH AVE / 35TH ST,
9999992592,Matthew Clasen,01-Mar-08,M,1600 EXPO PKWY,
9999992593,Matthew Clasen,24-Apr-08,M,AUBURN BLVD / MARCONI AVE,
9999992594,Nathan Gelder,22-Apr-08,M,708 NORTHFIELD DR,
9999992595,Maria Zettner,01-Jun-07,M,845 EL CAMINO AVE,
9999992596,Patrick O'Donnell,16-Oct-05,F,NORTH AVE / TALENT ST,
9999992597,Sean Miller,11-Jul-07,M,53RD AVE / WOODBINE AVE,
9999992598,Sean Miller,01-Jun-08,M,4625 VALLEY HI DR,
9999992599,Sean Miller,01-Jun-07,M,20TH ST / BROADWAY,
9999992600,Patrick O'Donnell,08-Jul-08,M,6204 POWER INN RD,
9999992601,Sean Miller,01-Jan-01,F,630 ELEANOR AVE,
9999992602,Harry Marie,30-Oct-07,M,1850 CLUB CENTER DR,
9999992603,Harry Marie,20-May-08,M,8530 FRUITRIDGE RD,
9999992604,Harry Marie,01-Jan-08,M,5790 WALLACE AVE,
9999992605,Sean Christensen,01-Jan-07,M,6685 STOCKTON BLVD,
9999992606,Patrick O'Donnell,01-Feb-08,F,DEL PASO BLVD / BARSTOW ST,
9999992607,Sean Christensen,01-Feb-07,M,1701 ARDEN WAY,
9999992608,Sean Christensen,01-Aug-05,M,297 MARINA PARK WAY,
9999992609,Lena Radford,19-Dec-05,M,STOCKTON BLVD / PARKER AVE,
9999992610,Harry Marie,25-Oct-06,M,2755 OAKMONT ST,
9999992611,Harry Marie,29-Jun-07,F,903 DEL PASO BLVD,
9999992612,Michael Dominguez,01-Feb-07,M,1548 69TH AVE,
9999992613,Michael Dominguez,11-Jun-08,M,2771 GROVE AVE,
9999992614,Michael Dominguez,01-Mar-08,M,42ND ST / 8TH AVE,
9999992615,Patrick O'Donnell,24-Apr-08,M,6225 BROADWAY,
9999992616,Phillip Breyer,22-Apr-08,F,5330 STOCKTON BLVD,
9999992617,Michael Dominguez,01-Jun-07,M,65TH ST / Q ST,
9999992618,Scot Coram,16-Oct-05,M,TALENT ST / HARRIS AVE,
9999992619,Scot Coram,11-Jul-07,M,5762 TANGERINE AVE,
9999992620,Michelle Ellison,01-Jun-08,M,3801 DUCKHORN DR,
9999992621,Michael Dominguez,01-Jun-07,F,BRUCEVILLE RD / CENTER PKWY,
9999992622,Maria Zettner,08-Jul-08,M,132 DRAGONFLY CIR,
9999992623,Nathan Gelder,01-Jan-01,M,CARLSON DR / MODDISON AVE,
9999992624,Victoria Wilson,30-Oct-07,M,TALENT ST / HARRIS AVE,
9999992625,Victoria Wilson,20-May-08,M,T ST / STOCKTON BLVD,
9999992626,Victoria Wilson,01-Jan-08,F,STOCKTON BLVD / MASSIE CT,
9999992627,Victoria Wilson,01-Jan-07,M,6518 63RD ST,
9999992628,Michelle Ellison,01-Feb-08,M,3555 AUBURN BLVD,
9999992629,Michelle Ellison,01-Feb-07,M,3555 AUBURN BLVD,
9999992630,Nathan Gelder,01-Aug-05,M,1900 CANTERBURY RD,
9999992631,Nathan Gelder,19-Dec-05,F,8181 FOLSOM BLVD,
9999992632,Todd Boyes,25-Oct-06,M,6845 LINDBROOK WAY,
9999992633,Shahid Collister,29-Jun-07,M,4261 CUSTIS AVE,
9999992634,Shahid Collister,01-Feb-07,M,12 BELLADONNA CT,
9999992635,Shahid Collister,11-Jun-08,M,58TH ST / 21ST AVE,
9999992636,Shahid Collister,01-Mar-08,F,VALLEY HI DR / BRUCEVILLE RD,
9999992637,Victoria Wilson,24-Apr-08,M,5150 FREEPORT BLVD,
9999992638,Victoria Wilson,22-Apr-08,M,515 LAMPASAS AVE,
9999992639,Victoria Wilson,01-Jun-07,M,BOXWOOD ST / DEL PASO BLVD,
9999992640,Thomas Boland,16-Oct-05,M,5091 ACCRINGTON WAY,
9999992641,Thomas Boland,11-Jul-07,F,2881 BRIDGEFORD DR,
9999992642,Michael Dominguez,01-Jun-08,M,23RD ST / L ST,
9999992643,Phillip Breyer,01-Jun-07,M,131 MOREY AVE,
9999992644,Patrick O'Donnell,08-Jul-08,M,5665 GILGUNN WAY,
9999992645,Patrick O'Donnell,01-Jan-01,M,STOCKTON BLVD / MASSIE CT,
9999992646,Todd Boyes,30-Oct-07,F,1830 HARIAN WAY,
9999992647,Thomas Boland,20-May-08,M,1417 R ST,
9999992648,Thomas Boland,01-Jan-08,M,MEADOWVIEW RD / SHINING STAR DR,
9999992649,Victoria Wilson,01-Jan-07,M,6874 BUENA TERRA WAY,
9999992650,Victoria Wilson,01-Feb-08,M,FREEPORT BLVD / FRUITRIDGE RD,
9999992651,Victoria Wilson,01-Feb-07,F,3201 W RIVER DR,
9999992652,Katrina Bavinger,01-Aug-05,M,1721 BRIDGECREEK DR,
9999992653,Katrina Bavinger,19-Dec-05,M,5694 79TH ST,
9999992654,Katrina Bavinger,25-Oct-06,M,1630 T ST,
9999992655,Victoria Wilson,29-Jun-07,M,5125 47TH AVE,
9999992656,Victoria Wilson,01-Feb-07,F,3637 DRY CREEK RD,
9999992657,Natalie Fritzler,11-Jun-08,M,2626 43RD ST,
9999992658,Natalie Fritzler,01-Mar-08,M,5911 68TH ST,
9999992659,Natalie Fritzler,24-Apr-08,M,5862 63RD ST,
9999992660,Michelle Ellison,22-Apr-08,M,3282 BERETANIA WAY,
9999992661,Michelle Ellison,01-Jun-07,F,FLORIN RD / FRANKLIN BLVD,
9999992662,Olvera Toch,16-Oct-05,M,1255 UNIVERSITY AVE,
9999992663,Olvera Toch,11-Jul-07,M,NORTHGATE BLVD / SAN JUAN RD,
9999992664,Sean Christensen,01-Jun-08,M,BRANCH ST / ARCADE BLVD,
9999992665,Olvera Toch,01-Jun-07,M,3579 FAR NIENTE WAY,
9999992666,Maria Zettner,08-Jul-08,F,1621 W EL CAMINO AVE,
9999992667,Michelle Ellison,01-Jan-01,M,65TH ST / FOLSOM BLVD,
9999992668,Michelle Ellison,30-Oct-07,M,MEADOWGATE DR / FRANKLIN BLVD,
9999992669,Michelle Ellison,20-May-08,M,3224 X ST,
9999992670,Victoria Wilson,01-Jan-08,M,6590 STOCKTON BLVD,
9999992671,Thomas Boland,01-Jan-07,F,1560 WATERWHEEL DR,
9999992672,Thomas Boland,01-Feb-08,M,32ND ST / BROADWAY,
9999992673,Thomas Boland,01-Feb-07,M,9TH ST / L ST,
9999992674,Patricia Hirasaki,01-Aug-05,M,1240 47TH AVE,
9999992675,Olvera Toch,19-Dec-05,M,HOWE AVE / COLLEGE TOWN DR,
9999992676,Olvera Toch,25-Oct-06,F,6670 ELVAS AVE,
9999992677,Victoria Wilson,29-Jun-07,M,12TH ST / U ST,
9999992678,Victoria Wilson,01-Feb-07,M,5369 CISCO CIR,
9999992679,Michelle Ellison,11-Jun-08,M,LEITCH AVE / NORWOOD AVE,
9999992680,Sean Miller,01-Mar-08,M,2829 RIVER PLAZA DR,
9999992681,Sean Miller,24-Apr-08,F,805 SAN JUAN RD,
9999992682,Patrick O'Donnell,22-Apr-08,M,5256 CALLISTER AVE,
9999992683,Sean Christensen,01-Jun-07,M,615 10TH ST,
9999992684,Sean Christensen,16-Oct-05,M,4060 DEER RUN WAY,
9999992685,Victoria Wilson,11-Jul-07,M,199 VILLAGE CIR,
9999992686,Scot Coram,01-Jun-08,F,47 LACAM CIR,
9999992687,Olvera Toch,01-Jun-07,M,7230 S LAND PARK DR,
9999992688,Olvera Toch,08-Jul-08,M,8472 HERMITAGE WAY,
9999992689,Michelle Ellison,01-Jan-01,M,8531 EVERGLADE DR,
9999992690,Michael Nguyen,30-Oct-07,M,1148 CONGRESS AVE,
9999992691,Patrick O'Donnell,20-May-08,F,1625 ARCADE BLVD,
9999992692,Patrick O'Donnell,01-Jan-08,M,26TH AVE / FRANKLIN BLVD,
9999992693,Scot Coram,01-Jan-07,M,4921 BANDALIN WAY,
9999992694,Scot Coram,01-Feb-08,M,3900 ROSEVILLE RD,
9999992695,Todd Boyes,01-Feb-07,M,14TH AVE / FRANKLIN BLVD,
9999992696,Scot Coram,01-Aug-05,F,FRANKLIN BLVD / ATLAS AVE,
9999992697,Sean Miller,19-Dec-05,M,19TH ST / CAPITOL AVE,
9999992698,Scot Coram,25-Oct-06,M,4915 HARTE WAY,
9999992699,Lena Radford,29-Jun-07,M,FRANKLIN BLVD / 12TH AVE,
9999992700,Shahid Collister,01-Feb-07,M,14TH AVE / FRANKLIN BLVD,
9999992701,Shahid Collister,11-Jun-08,F,4501 MARTIN LUTHER KING JR BLVD,
9999992702,Michelle Ellison,01-Mar-08,M,3000 ACADEMY WAY,
9999992703,Maria Zettner,24-Apr-08,M,9 LATHAM LN,
9999992704,Patrick O'Donnell,22-Apr-08,M,2408 EMPRESS ST,
9999992705,Michael Dominguez,01-Jun-07,M,648 REGGINALD WAY,
9999992706,Nathan Gelder,16-Oct-05,F,HOWE AVE / COLLEGE TOWN DR,
9999992707,Nathan Gelder,11-Jul-07,M,6740 FRUITRIDGE RD,
9999992708,Patricia Hirasaki,01-Jun-08,M,FRANKLIN BLVD / 8TH AVE,
9999992709,Thea Hendricks,01-Jun-07,M,5395 NICKMAN WAY,
9999992710,Corey Catlett,08-Jul-08,M,6315 LOCHINVAR WAY,
9999992711,Corey Catlett,01-Jan-01,F,555 CAPITOL MALL,
9999992712,Corey Catlett,30-Oct-07,M,HWY 99 SB / BROADWAY,
9999992713,Ed Jacobs,20-May-08,M,1312 L ST,
9999992714,Noel Staavos,01-Jan-08,M,1410 L ST,
9999992715,Keith Herrera,01-Jan-07,M,1214 L ST,
9999992716,Carlos Meador,01-Feb-08,F,OAKMONT ST / RIO LINDA BLVD,
9999992717,Carlos Meador,01-Feb-07,M,3409 24TH AVE,
9999992718,Corinna Mitchell,01-Aug-05,M,4958 KOKOMO DR,
9999992719,Raymond Fair,19-Dec-05,M,39TH ST / Y ST,
9999992720,Carlos Meador,25-Oct-06,M,FRANKLIN BLVD / 26TH AVE,
9999992721,Karl Brown,29-Jun-07,F,AMERICAN AVE / WILSON AVE,
9999992722,Natalie Webber,01-Feb-07,M,ALHAMBRA BLVD / I ST,
9999992723,Eric Barreto,11-Jun-08,M,FRANKLIN BLVD / ATLAS AVE,
9999992724,Hunter Lopez,01-Mar-08,M,26 OAK RANCH CT,
9999992725,Hunter Lopez,24-Apr-08,M,35TH ST / 4TH AVE,
9999992726,Barry Franz,22-Apr-08,F,KENWOOD ST / ACADEMY WAY,
9999992727,Barry Franz,01-Jun-07,M,5TH ST / CAPITOL MALL,
9999992728,Craig Yedwab,16-Oct-05,M,FRANKLIN BLVD / 12TH AVE,
9999992729,Eric Barreto,11-Jul-07,M,4660 NATOMAS BLVD,
9999992730,Chuck Sachs,01-Jun-08,M,3069 GREAT FALLS WAY,
9999992731,Muhammed Lee,01-Jun-07,F,FRANKLIN BLVD / 20TH AVE,
9999992732,Karl Brown,08-Jul-08,M,7325 DRESHER PARK WAY,
9999992733,Karl Brown,01-Jan-01,M,FRANKLIN BLVD / 14TH AVE,
9999992734,Bobby Trafton,30-Oct-07,M,4300 8TH AVE,
9999992735,David Flashing,20-May-08,M,BROOKFIELD DR / MACK RD,
9999992736,Rick Duston,01-Jan-08,F,2451 MEADOWVIEW RD,
9999992737,Troy Staebel,01-Jan-07,M,3615 AUBURN BLVD,
